Make,Model,produce year,Color,fuel Type,gear Type,eng power,distance,Origin,Ad data push,price
Fiat,Panda,2010,Golden ,Petrol ,manuel,1250,100000,private ,24/09/2016,37000
Kia,Cerato,2007,Silver ,Petrol ,Automatic,1600,103000,private ,26/09/2016,47500
Opel,Astra,2011,Black ,Petrol ,manuel,1600,106000,private ,20/09/2016,65000
VW,Polo,2011,Red ,Petrol ,manuel,1400,116000,private ,21/09/2016,64000
Kia,Sportage,2011,Residential ,Diesel ,Automatic,2000,118000,private ,22/09/2016,96100
Hyundai,Tucson,2006,Silver ,Diesel ,Automatic,1900,120000,private ,20/09/2016,56000
Ford,Focus,2009,Gray ,Petrol ,manuel,1600,120000,private ,20/09/2016,48000
VW,Golf,2008,Army color ,Petrol ,manuel,1600,120000,private ,21/09/2016,72000
Skoda,Octavia,2010,Silver ,Diesel ,manuel,1600,120000,private ,26/09/2016,79000
Sang,Young Rxton,2006,Black Metallic ,Diesel ,Automatic,2700,124000,private ,25/09/2016,65000
Kia,Pride,2007,White ,Petrol ,Automatic,1500,125000,private ,26/09/2016,46000
Skoda,Octavia,2008,Silver ,Petrol ,Automatic,1600,127000,private ,20/09/2016,58000
Hyundai,Verna,2007,Residential ,Petrol ,Automatic,1400,130000,private ,22/09/2016,43500
Hyundai,Elantra,2006,White ,Diesel ,manuel,2000,130000,private ,25/09/2016,39000
VW,Touran,2012,Blue ,Diesel ,Automatic,1600,135000,private ,24/09/2016,100000
Honda,CR-V,2007,Red ,Petrol ,Automatic,2000,140000,private ,24/09/2016,110000
Opel,Astra,2006,Silver ,Petrol ,manuel,1600,150000,private ,21/09/2016,45000
Hyundai,i30,2008,Silver ,Diesel ,Automatic,1600,150000,private ,21/09/2016,57000
Opel,Astra,2006,Silver ,Petrol ,Automatic,1800,150000,private ,25/09/2016,49500
VW,Touran,2008,Ferrani ,Diesel ,Automatic,1900,150000,private ,25/09/2016,85000
Chevrolet,Optra,2006,Blue ,Petrol ,Automatic,1600,160000,private ,24/09/2016,34000
Fiat,Punto,2009,Gray ,Petrol ,manuel,1250,160000,private ,25/09/2016,43000
Mazda,6,1992,Ferrani ,Petrol ,Automatic,2000,240000,private ,24/09/2016,30000
Kia,Sayed,2011,White ,Petrol ,Automatic,1600,456000,Taxi ,24/09/2016,59000
Hyundai,Elantra,1999,White ,Diesel ,manuel,1900,456000,Taxi ,24/09/2016,19000
Chevrolet,Malibu,2010,Residential ,Petrol ,Automatic,3500,100000,private ,24/09/2016,69000
Hyundai,2008,2009,grey R ,Diesel ,Automatic,2000,120000,private ,24/09/2016,66000
Peugeot,developer,2015,Blue ,Petrol ,Automatic,125,200000,private ,24/09/2016,10500
Motorcycle,Piaggio 250,2016,Black ,Petrol ,Automatic,250,25000,private ,25/09/2016,20000
VW,Golf,2014,Russet ,Petrol ,Automatic,1400,10000,private ,24/09/2016,119000
Hyundai,i30,2009,Red ,Petrol ,Automatic,1600,10000,private ,27/09/2016,56500
Hyundai,i30,2009,Red ,Petrol ,Automatic,1600,10000,private ,27/09/2016,57500
Hyundai,Accent,2015,Residential ,Petrol ,Automatic,1600,11000,private ,24/09/2016,80000
VW,Caddy,2012,Red ,Diesel ,manuel,1600,12000,private ,22/09/2016,93000
Fiat,Panda,2015,Black Metallic ,Petrol ,manuel,1250,12200,private ,24/09/2016,57000
Fiat,Vorino,1987,White ,Petrol ,manuel,1050,12228,private ,21/09/2016,11000
Hyundai,Avante,2005,White ,Petrol ,manuel,1600,13000,private ,21/09/2016,49000
Citroen,Berlingo,2012,Black ,Diesel ,manuel,1600,13000,private ,22/09/2016,80000
VW,Golf,2002,Silver ,Petrol ,Automatic,1600,13000,private ,25/09/2016,6000
Mercedes,220,2002,White ,Diesel ,Automatic,2200,14000,Taxi ,22/09/2016,65000
Kia,Pride,2014,White ,Petrol ,manuel,1400,14000,private ,26/09/2016,65000
Opel,Astra,2006,Russet ,Petrol ,manuel,1600,15000,private ,24/09/2016,50000
Kia,Forte,2008,Black Metallic ,Petrol ,Automatic,1600,17200,private ,25/09/2016,59000
Kia,Sportage,2013,Residential ,Diesel ,Automatic,2000,18000,private ,21/09/2016,107000
Skoda,Octavia,2014,Brown ,Diesel ,manuel,1600,18000,private ,22/09/2016,112000
Mercedes,GL350,2007,Gray ,Diesel ,Automatic,3200,18000,private ,25/09/2016,220000
Hyundai,Accent,2014,White ,Petrol ,Automatic,1400,18000,private ,24/09/2016,73000
BMW,520,2014,Brown ,Petrol ,Automatic,2000,18000,private ,26/09/2016,220000
VW,Caddy,2008,Residential ,Diesel ,manuel,1900,18000,private ,27/09/2016,83000
Hyundai,Accent,2014,Silver ,Petrol ,Automatic,1400,19000,private ,20/09/2016,66800
Hyundai,Accent,2014,Red ,Petrol ,Automatic,1400,19000,private ,24/09/2016,75000
Hyundai,Tucson,2011,Ferrani ,Diesel ,Automatic,1600,19000,private ,25/09/2016,98000
Hyundai,Hendaa,2014,Kermidi ,Petrol ,manuel,1400,19500,private ,25/09/2016,70000
Opel,Corsa,2015,Blue ,Petrol ,Automatic,1400,20000,private ,20/09/2016,82500
Volkswagen,Tiguan,2014,Golden ,Petrol ,Automatic,1400,20000,private ,22/09/2016,143000
